0;year;injury.type;size;t.ninj;c.ninj;location;mandatory;mandatory.category;ages;male;injury;car;additional values
83;2015;serious.head;505;120;315;USA;;N;all;0.875666075;70.0;412.08;816
84;2015;head;567;96;155;USA;N;N;child;0.691337258;131.0;462.672;816
85;2015;serious.head;567;96;155;USA;N;N;child;0.691337258;75.0;462.672;816
86;2015;face;567;96;155;USA;N;N;child;0.691337258;245.0;462.672;816
87;2015;neck;567;96;155;USA;N;N;child;0.691337258;10.0;462.672;816
88;2015;head;699;168;214;USA;Y;child;all;0.802575107;55.0;570.384;816
89;2015;serious.head;699;168;214;USA;Y;child;all;0.802575107;52.0;570.384;816
90;2015;face;699;168;214;USA;Y;child;all;0.802575107;102.0;570.384;816
91;2015;neck;699;168;214;USA;Y;child;all;0.802575107;11.0;570.384;816
92;2016;head;3711;1281;842;Sweden;Y;child;child;0.637563999;623.0;1755.303;473
93;2016;serious.head;3711;1281;842;Sweden;Y;child;child;0.637563999;24.0;1755.303;473
94;2016;face;3711;1281;842;Sweden;Y;child;child;0.637563999;1202.0;1755.303;473
95;2016;neck;3711;1281;842;Sweden;Y;child;child;0.637563999;57.0;1755.303;473
